lewy obronca	162	183.0835121376582944	200	54.8752834467120181	78.2168107261416073	102.9478458049886621
srodkowy obronca	162	185.2932536226146172	200	58.0498866213151927	80.2829628169265964	99.7732426303854875
lewy napastnik	160	179.9794674882737055	203	54.8752834467120181	75.619620299758519	102.0408163265306122
lewy pomocnik	157	178.5050223126291058	198	53.0612244897959184	73.8653844936747899	98.8662131519274376
rozgrywajacy	162	180.4887539361223572	198	54.8752834467120181	75.5963304000062563	96.145124716553288
napastnik	160	177.8607473035439137	200	55.782312925170068	73.206380651901233	97.0521541950113379
bramkarz	162	187.3728962332557341	208	58.0498866213151927	83.4280023500450824	110.2040816326530612
srodkowy napastnik	160	181.849874686716792	203	54.8752834467120181	77.7644005356142843	102.0408163265306122
srodkowy pomocnik	160	179.2909157256674843	198	55.782312925170068	74.4575914714552204	97.9591836734693878
prawy obronca	162	179.8464336964650242	200	58.0498866213151927	75.3076637409617524	97.9591836734693878
prawy pomocnik	157	178.0691503673807306	203	53.0612244897959184	73.4686462118049469	97.0521541950113379
