8634	FC Barcelona	H	3	1433	1662	0.86221419975932611312
8633	Real Madrid CF	H	3	1418	1670	0.84910179640718562874
9772	SL Benfica	H	3	1071	1280	0.83671875
9773	FC Porto	H	3	1078	1308	0.82415902140672782875
9823	FC Bayern Munich	H	3	1199	1496	0.80147058823529411765
9925	Celtic	H	3	1318	1670	0.78922155688622754491
8640	PSV	H	3	1067	1364	0.78225806451612903226
10260	Manchester United	H	3	1276	1672	0.76315789473684210526
8593	Ajax	H	3	1045	1375	0.76
8635	RSC Anderlecht	H	3	770	1034	0.74468085106382978723
